,date,username,tweet,nlikes,label
91,4/24/2022 15:14,zonasubang,"Cerita Viral, Wanita Ini Dilecehkan di Terminal  https://t.co/n1Q0Yvgecl . Tolong yaa pegawai @DishubMalang di edukasi masalah sexual harassment. Kalau ada kejadian seperti itu lagi jadi bisa di damai kan, gak cuman diem aja pake kacamata item, duduk di bawah pohon. Saya jadi trauma mau naik transportasi umum. Tks,"" paparnya.

""Masalahnya, tadi makelar itu (pakai baju merah hari ini), gak sengaja injak kaki saya, lalu refleks dia PELUK SAYA, saya bilang ""jangan pegang saya"" dan teriak, 2 pegawai dishub malah diam saja. Karena saya kaget dan takit jadi saya cuman bisa kasih jari tengah????,"" tambahnya.",0,urgent
92,4/24/2022 15:13,TINTAHIJAUcom,"Cerita Viral, Wanita Ini Dilecehkan di Terminal  https://t.co/TCbJe3H0VI",0,urgent
93,4/24/2022 14:50,tega_ya,"Cerita Viral, Wanita Ini Dilecehkan di Terminal -  https://t.co/bXw6k10jKR  https://t.co/A8mSVp9uZT",0,urgent
94,4/24/2022 14:38,belanjacelana,"Cerita Viral, Wanita Ini Dilecehkan di Terminal -  https://t.co/uAJca2c6mj  https://t.co/ZqHoUQETHI",0,urgent
95,4/24/2022 14:26,wanitaimpianmu,"Cerita Viral, Wanita Ini Dilecehkan di Terminal -  https://t.co/7G5YQwSuo9  https://t.co/ylVTFIiWha",0,urgent
96,4/24/2022 6:59,Palupi_lov3,"@sikodoksakit @DhidanHardhian5 Ya kalau dia manusia beradab mngkin bisa minta maaf. Ntah kalau dia manusia BIADAB mba. ,ðŸ™ Maaf Lupi jd kasar kalau lihat wanita dilecehkan.",2,not urgent
97,4/23/2022 9:48,madoiisdo,amber heard nih bikin korban2 wanita yg beneran dipukulin dan dilecehkan makin susah dan makin takut speak up karena sekarang orang2 pada susah mau percaya korban..........,0,urgent
98,4/22/2022 22:18,Arief_2792,"@el_avraham @stafsuscolonial @BandiVokt @evitawnld UU TPKS kan tmsk ranah pemerkosaan atau grepe-grepe dsb kan  UU itu dimiliki semua negara maju. Udah prasyarat jadi negara maju   Mesir yg ekonominya hustling, gw baru tau dan gw syok, pelecehan seksual d",1,urgent
99,4/22/2022 19:54,Arief_2792,"@sentris_man UU TPKS kan tmsk ranah pemerkosaan atau grepe-grepe dsb kan  UU itu dimiliki semua negara maju. Udah prasyarat jadi negara maju   Mesir yg ekonominya hustling, gw baru tau dan gw syok, pelecehan seksual di sana gila, 99% WANITA PERNAH DILECEH",1,urgent
100,4/22/2022 13:29,mabashb,"walau jarang, namun kasus pria yang dilecehkan wanita tak sedikit, bahkan beberapa hingga terjadi pemerkosaan. namun respon masyarakat cenderung biasa saja, padahal tentu bisa menimbulkan trauma. jangan sama ratakan bahwa semua pria itu mesum!   https://t.co/h13RfE29kM",0,urgent
101,4/22/2022 11:10,ShowbizLite,"Curhat Miris Pesepakbola Wanita Dilecehkan di MediaÂ Sosial  https://t.co/cWHXdHR8xD . Pria itu mengatakan terangsang melihat foto saya bermain sepak bola, bahkan dia menandai klub saya pada postingan memalukan tersebut",0,urgent
102,4/19/2022 23:45,helehhilih_,"@rvskkkdddo @bangopang_ LGBT ngeseks juga sesama LGBT. Kalo ada yang normal ""merasa dilecehkan"", ya silahkan jalurnya kan hukum.  Sama seperti ketika kalian yang katanya normal, melecehkan orang lain. Khususnya ke kaum wanita.",0,not urgent
103,4/19/2022 16:30,BloonGebuk,"UU TPKS melindungi hak2 wanita, tp ditolak. Smentara di negara berbasis agama, hak2 wanita dikebiri. Gabisa kluar rumah sendirian. Dilecehkan, diperkosa, tetep wanita yg salah. Pendidikan terbatas. Penampilan diatur, hanya kain hitam dari ujung ke ujung.  Minat? Gw sih OGAH!",3,urgent
104,4/18/2022 17:00,andiwib1986,"@whiteofroses @FWBESS pelecehan kalau si korban merasa dilecehin, tapi kebanyakan kaum adam yang ada kesenengan. bisa dihitung pakai jari yg melapor dilecehkan sama wanita apalagi ditunjukin nenen dan disuruh grepe2",0,urgent
105,4/21/2022 8:18,501Awani,"""Suspek telah memarahi dan memukul badan pengadu sehingga menyebabkan wanita itu lebam dan sakit pada anggota badannya.""  #ICYMI #AWANInews #AWANIpagi   https://t.co/H4Pmb41Gb1",16,urgent
106,3/19/2022 19:21,KiramatTerala,"ã…¤ ã…¤Tentu sabuk hitam, yang digunakan untuk memukul,  berhenti bergerak. Atensi wanita berkulit putih itu teralihkan pada Lilis dan Dyah. ""DASAR MONYET-MONYET TIDAK BERGUNA. PERGI DARI TOKOKU."" ã…¤ ã…¤Walau tak mendapatkan roti yang diinginkan setidaknya tidak ada lagi pukulan.",0,urgent
107,12/26/2021 14:39,doyok_supri,"@swissball333 @citracannavaro lebih unggul dalam bidang apa? dalam bidang menjadi sexist? atau dalam bidang penyerangan seksual dengan memukul kemaluan orang?, melihat orang seperti kamu membuatku ingin tertawa pada wanita wanita yang pernah diperkosa",0,urgent
108,12/15/2021 11:49,JRenggana,"Dilema, wanita modelan ini seringkali playing victim, saat dipegang/sentuh akan teriak dia memukul, dia menganiaya, dia melakukan pelecehan seksual, jd seringkali sengaja agar korban melakukan sentuhan pada pelaku agar bisa disalahkan dengan macam-macam kebiasaan kelompok mereka.",0,urgent
109,12/3/2021 19:17,adnan_fuzzy,"Chapter  ini sanji  bintangnya.. karakter favorit selama ikutin OP. Kayaknya  sifatnya  laki pake banget dah nih karakter udh mesum, mau berkorban untuk temannya, lembut ke cewe dan bersumpah lebih baik mati dari pada memukul wanita.   #onepiece1034  https://t.co/QwoGbF4PmD",3,urgent
110,4/30/2022 5:55,channnn00,"@SeputarTetangga tapi mereka ga ada tuh negur anaknya. Gue tau kekerasan terhadap anak kecil emang ga bisa dibenarkan, tapi bocil kematian ini layak buat dislepet sendal kalo udah berulah. Sebel banget gue.",45,not urgent
111,4/30/2022 4:43,fckarea,"@devilmaycrypt0 @yaydump @kopitersenja @dwikimic gk mesti nunggu di buang di panti dlu sih klo mau blg gk semua ortu baik, ya krn emg fakta ny gk semua ortu pantas di blg ortu, ad anak yg dri kecil dpt kekerasan, di abaikan ortu dan gk di nafkahi ortu, an",44,not urgent
112,4/30/2022 1:03,eLAmaravati,"Gak heran banyak anak yang diam ketika mengalami kekerasan/kekerasan seksual dari orang tuanya. Gue baru bilang gak harmonis ama ibu aja banyak yang salty. Kalian tinggal di dunia bagian mana, sih, sampai menganggap bahwa orang tua adalah berhala yang harus dipuja-puja?",18,not urgent
113,4/29/2022 22:54,meruparupa,"Drpd dishaming dan melabel anak yang penasaran dgn seks sebagai hal yang tabu, baiknya kita ngasih pemahaman resiko dari aktivitas seksual. Bahaya akan STD dan/atau kehamilan tidak diinginkan, bahaya akan kekerasan seksual. Justru rasa ingin tahu yang direpresi juga berbahaya.",97,urgent
114,4/29/2022 18:50,egaskalit,"@Franciscopamz Gw masih bingung sih menanggapi aborsi, karena ada risiko sang anak akan ditelantarkan atau mengalami kekerasan rumah tangga sepanjang hidupnya apabila dipaksakan lahir.",0,not urgent
115,4/29/2022 17:30,PewartaSatu,"Vonis hukuman mati terhadap Hendi alias Abah Heni (57), pelaku pemerkosaan 10 anak perempuan di Sukabumi, Jawa Barat, diharapkan dapat memberikan efek jera terhadap pelaku dan semua tindakan kekerasan seksual lainnya.Â  -  https://t.co/Ljn6e72C3H",0,urgent
116,4/29/2022 15:36,idntimes,Lagi-lagi kasus kekerasan seksual pada anak terjadi di Jabar  https://t.co/ln3VCZcxSf,0,urgent
117,4/29/2022 14:41,abbyiesty,setan. gue beneran benci bgt sama pelaku kekerasan terhadap cewe/anak. ngilangin nyawa 2 manusia = hukuman 2 tahun gitu? ga habis pikir sumpah.,0,urgent
118,4/29/2022 14:29,coffsslatte,"@virgitaaa_ @shabrinaf_ Silahkan di cek tingkat kasus kekerasan terhadap anak, perempuan, pernikahan di bawah umur apakah sudah rendah?   Feminism ga cuman di pelajari di Indonesia, tapi dunia. Point pembahasan di awal bukan masalah Indonesia butuh femini",0,not urgent
